0-7750 press up
7840-23720 press up
12260-12270 press down
15110-15120 press down
0 steer 0
10 steer 0
20 steer 661
30 steer 661
40 steer 806
50 steer 913
60 steer 913
70 steer 913
80 steer 1060
90 steer 1149
100 steer 1149
110 steer 1149
120 steer 1310
130 steer 1310
140 steer 1836
150 steer 2218
160 steer 2654
170 steer 3617
180 steer 3617
190 steer 4525
200 steer 5313
210 steer 5313
220 steer 5883
230 steer 6156
240 steer 6403
250 steer 6646
260 steer 6911
270 steer 7425
280 steer 7694
290 steer 7965
300 steer 8557
310 steer 8864
320 steer 9166
330 steer 9682
340 steer 9866
350 steer 10027
360 steer 10170
370 steer 10285
380 steer 10406
390 steer 10534
400 steer 10636
410 steer 10799
420 steer 10879
430 steer 10879
440 steer 11063
450 steer 11206
460 steer 11410
470 steer 11766
480 steer 11944
490 steer 12100
500 steer 12254
510 steer 12406
520 steer 12681
530 steer 12779
540 steer 12779
550 steer 12946
560 steer 12946
570 steer 12946
580 steer 12946
590 steer 12946
600 steer 13160
610 steer 13160
620 steer 13160
630 steer 13160
640 steer 13160
650 steer 13160
660 steer 13371
670 steer 13371
680 steer 13371
690 steer 13371
700 steer 13371
710 steer 13371
720 steer 13371
730 steer 13371
740 steer 13371
750 steer 13371
760 steer 13371
770 steer 13371
780 steer 13371
790 steer 13371
800 steer 13371
810 steer 13371
820 steer 13371
830 steer 13371
840 steer 13371
850 steer 13371
860 steer 13371
870 steer 13371
880 steer 13371
890 steer 12792
900 steer 12792
910 steer 12358
920 steer 12174
930 steer 11996
940 steer 11744
950 steer 11744
960 steer 11584
970 steer 11584
980 steer 11584
990 steer 11584
1000 steer 11363
1010 steer 11363
1020 steer 11363
1030 steer 11363
1040 steer 11363
1050 steer 11363
1060 steer 11363
1070 steer 11363
1080 steer 11363
1090 steer 11363
1100 steer 11363
1110 steer 11363
1120 steer 11363
1130 steer 11363
1140 steer 11363
1150 steer 11363
1160 steer 11018
1170 steer 9472
1180 steer 9472
1190 steer 6854
1200 steer 5772
1210 steer 4844
1220 steer 3415
1230 steer 2875
1240 steer 2431
1250 steer 2055
1260 steer 1498
1270 steer 1290
1280 steer 939
1290 steer 939
1300 steer 0
1310 steer 0
1320 steer 0
1330 steer 0
1340 steer 0
1350 steer 0
1360 steer 0
1370 steer 0
1380 steer 0
1390 steer 0
1400 steer 0
1410 steer 0
1420 steer 0
1430 steer 0
1440 steer 0
1450 steer 0
1460 steer 0
1470 steer 0
1480 steer 0
1490 steer 0
1500 steer 0
1510 steer 0
1520 steer 0
1530 steer 0
1540 steer 0
1550 steer 0
1560 steer 0
1570 steer 0
1580 steer 0
1590 steer 0
1600 steer 0
1610 steer 0
1620 steer 0
1630 steer 0
1640 steer 0
1650 steer 0
1660 steer 0
1670 steer 0
1680 steer 0
1690 steer 0
1700 steer 0
1710 steer 0
1720 steer 0
1730 steer 0
1740 steer 0
1750 steer 0
1760 steer 0
1770 steer 0
1780 steer 0
1790 steer 0
1800 steer 0
1810 steer 0
1820 steer 0
1830 steer 0
1840 steer 0
1850 steer 0
1860 steer 0
1870 steer 0
1880 steer 0
1890 steer 0
1900 steer 0
1910 steer 0
1920 steer 0
1930 steer 0
1940 steer 0
1950 steer 0
1960 steer 0
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 0
2020 steer 0
2030 steer 0
2040 steer 0
2050 steer 0
2060 steer 0
2070 steer 0
2080 steer 776
2090 steer 991
2100 steer 1108
2110 steer 1249
2120 steer 1520
2130 steer 1520
2140 steer 2160
2150 steer 2901
2160 steer 3619
2170 steer 4695
2180 steer 4695
2190 steer 5525
2200 steer 5852
2210 steer 6137
2220 steer 6661
2230 steer 6958
2240 steer 7271
2250 steer 8060
2260 steer 8060
2270 steer 8999
2280 steer 9407
2290 steer 9749
2300 steer 10248
2310 steer 10430
2320 steer 10573
2330 steer 10794
2340 steer 10794
2350 steer 10929
2360 steer 10929
2370 steer 11018
2380 steer 11018
2390 steer 11018
2400 steer 11018
2410 steer 11018
2420 steer 11141
2430 steer 11141
2440 steer 11141
2450 steer 11141
2460 steer 11141
2470 steer 11141
2480 steer 11141
2490 steer 11141
2500 steer 11141
2510 steer 11141
2520 steer 11141
2530 steer 11141
2540 steer 11141
2550 steer 11141
2560 steer 11141
2570 steer 11141
2580 steer 11141
2590 steer 11141
2600 steer 11141
2610 steer 11141
2620 steer 10278
2630 steer 9335
2640 steer 6559
2650 steer 5310
2660 steer 4176
2670 steer 2268
2680 steer 2268
2690 steer 904
2700 steer 0
2710 steer 0
2720 steer 0
2730 steer 0
2740 steer 0
2750 steer 0
2760 steer 0
2770 steer 0
2780 steer 0
2790 steer 0
2800 steer 0
2810 steer 0
2820 steer 0
2830 steer 0
2840 steer 0
2850 steer 0
2860 steer 0
2870 steer 0
2880 steer 0
2890 steer 0
2900 steer 0
2910 steer 0
2920 steer 0
2930 steer 0
2940 steer 0
2950 steer 0
2960 steer 0
2970 steer 0
2980 steer 0
2990 steer 0
3000 steer 0
3010 steer 0
3020 steer 0
3030 steer 0
3040 steer 0
3050 steer 806
3060 steer 1342
3070 steer 2331
3080 steer 3981
3090 steer 4599
3100 steer 5091
3110 steer 5803
3120 steer 6054
3130 steer 6256
3140 steer 6403
3150 steer 6403
3160 steer 5128
3170 steer 3771
3180 steer 3771
3190 steer 2405
3200 steer 1774
3210 steer 1195
3220 steer 0
3230 steer 0
3240 steer 0
3250 steer 0
3260 steer 0
3270 steer 0
3280 steer 0
3290 steer 0
3300 steer 0
3310 steer 0
3320 steer 0
3330 steer 0
3340 steer 0
3350 steer 0
3360 steer 0
3370 steer 0
3380 steer 0
3390 steer 0
3400 steer 0
3410 steer 0
3420 steer 0
3430 steer 0
3440 steer 0
3450 steer 0
3460 steer 0
3470 steer 0
3480 steer 0
3490 steer 0
3500 steer 0
3510 steer 0
3520 steer 0
3530 steer 0
3540 steer 0
3550 steer 0
3560 steer 0
3570 steer 0
3580 steer 0
3590 steer 0
3600 steer 0
3610 steer 0
3620 steer 0
3630 steer 0
3640 steer -932
3650 steer -1136
3660 steer -1299
3670 steer -1555
3680 steer -1555
3690 steer -1704
3700 steer -1704
3710 steer -1704
3720 steer -1704
3730 steer -1704
3740 steer -1704
3750 steer -1921
3760 steer -1921
3770 steer -1921
3780 steer -1921
3790 steer -1921
3800 steer -1921
3810 steer -1921
3820 steer -1921
3830 steer -1921
3840 steer -1921
3850 steer -1921
3860 steer -1921
3870 steer -1921
3880 steer -1921
3890 steer -1921
3900 steer -1921
3910 steer -1921
3920 steer -1921
3930 steer -1921
3940 steer -2153
3950 steer -2153
3960 steer -2153
3970 steer -2153
3980 steer -2153
3990 steer -2153
4000 steer -2153
4010 steer -2153
4020 steer -2153
4030 steer -2153
4040 steer -2153
4050 steer -2153
4060 steer -2372
4070 steer -2372
4080 steer -2526
4090 steer -2988
4100 steer -2988
4110 steer -3550
4120 steer -3860
4130 steer -4146
4140 steer -4597
4150 steer -4768
4160 steer -4892
4170 steer -4992
4180 steer -4992
4190 steer -5137
4200 steer -5230
4210 steer -5230
4220 steer -5230
4230 steer -5230
4240 steer -5230
4250 steer -5352
4260 steer -5352
4270 steer -5352
4280 steer -5352
4290 steer -5352
4300 steer -5464
4310 steer -5573
4320 steer -5774
4330 steer -6054
4340 steer -6306
4350 steer -6718
4360 steer -7563
4370 steer -9975
4380 steer -11885
4390 steer -14201
4400 steer -30772
4410 steer -29428
4420 steer -33260
4430 steer -35784
4440 steer -38265
4450 steer -43434
4460 steer -46112
4470 steer -48576
4480 steer -51185
4490 steer -53589
4500 steer -57098
4510 steer -57098
4520 steer -59358
4530 steer -60166
4540 steer -60800
4550 steer -61712
4560 steer -62038
4570 steer -62296
4580 steer -62504
4590 steer -62504
4600 steer -62287
4610 steer -61248
4620 steer -59427
4630 steer -57469
4640 steer -52748
4650 steer -50315
4660 steer -47784
4670 steer -43116
4680 steer -40828
4690 steer -38304
4700 steer -20971
4710 steer -20971
4720 steer -18965
4730 steer -17632
4740 steer -16452
4750 steer -14687
4760 steer -14060
4770 steer -13557
4780 steer -13158
4790 steer -12837
4800 steer -12375
4810 steer -12210
4820 steer -12046
4830 steer -10916
4840 steer -9806
4850 steer -8526
4860 steer -7229
4870 steer -4881
4880 steer -3491
4890 steer -1769
4900 steer 0
4910 steer 0
4920 steer 0
4930 steer 0
4940 steer 0
4950 steer 0
4960 steer 0
4970 steer 0
4980 steer 0
4990 steer 0
5000 steer 0
5010 steer 0
5020 steer 0
5030 steer 0
5040 steer 0
5050 steer 0
5060 steer 0
5070 steer 0
5080 steer 0
5090 steer -2511
5100 steer -3289
5110 steer -3923
5120 steer -4430
5130 steer -4838
5140 steer -5423
5150 steer -5642
5160 steer -5820
5170 steer -6043
5180 steer -5701
5190 steer -5289
5200 steer -4935
5210 steer -4623
5220 steer -4176
5230 steer -4011
5240 steer -3884
5250 steer -3779
5260 steer -3632
5270 steer -3632
5280 steer -3537
5290 steer -3537
5300 steer -3537
5310 steer -3537
5320 steer -3537
5330 steer -3415
5340 steer -3415
5350 steer -3415
5360 steer -3415
5370 steer -3415
5380 steer -3415
5390 steer -3294
5400 steer -3146
5410 steer -3146
5420 steer -3036
5430 steer -3036
5440 steer -2919
5450 steer -2919
5460 steer -2919
5470 steer -2919
5480 steer -2919
5490 steer -2919
5500 steer -2919
5510 steer -2919
5520 steer -2919
5530 steer -2919
5540 steer -2919
5550 steer -2919
5560 steer -2919
5570 steer -3400
5580 steer -3753
5590 steer -4779
5600 steer -5564
5610 steer -6722
5620 steer -7900
5630 steer -9528
5640 steer -13806
5650 steer -28606
5660 steer -29712
5670 steer -32037
5680 steer -47142
5690 steer -49693
5700 steer -51594
5710 steer -54008
5720 steer -63983
5730 steer -63868
5740 steer -63775
5750 steer -63629
5760 steer -63629
5770 steer -63525
5780 steer -63525
5790 steer -63525
5800 steer -63452
5810 steer -62632
5820 steer -59973
5830 steer -41418
5840 steer -39286
5850 steer -36688
5860 steer -33939
5870 steer -31540
5880 steer -29584
5890 steer -26509
5900 steer -25267
5910 steer -24198
5920 steer -22639
5930 steer -22084
5940 steer -21641
5950 steer -21286
5960 steer -21001
5970 steer -20589
5980 steer -19896
5990 steer -20329
6000 steer -19928
6010 steer -19928
6020 steer -17985
6030 steer -15847
6040 steer -14459
6050 steer -12089
6060 steer -7644
6070 steer -7644
6080 steer -3498
6090 steer -1854
6100 steer 0
6110 steer 0
6120 steer 0
6130 steer 0
6140 steer 0
6150 steer 0
6160 steer 0
6170 steer 0
6180 steer 0
6190 steer 0
6200 steer 0
6210 steer 0
6220 steer 0
6230 steer 0
6240 steer 0
6250 steer 0
6260 steer 0
6270 steer 0
6280 steer 0
6290 steer 0
6300 steer 0
6310 steer 0
6320 steer 0
6330 steer 0
6340 steer 0
6350 steer 0
6360 steer 0
6370 steer 0
6380 steer 0
6390 steer 0
6400 steer 0
6410 steer 0
6420 steer 0
6430 steer 0
6440 steer 0
6450 steer 0
6460 steer 0
6470 steer -1260
6480 steer -2270
6490 steer -3088
6500 steer -4300
6510 steer -4738
6520 steer -3762
6530 steer -5371
6540 steer -5597
6550 steer -5787
6560 steer -5976
6570 steer -5976
6580 steer -6223
6590 steer -2229
6600 steer -2229
6610 steer -2229
6620 steer -6449
6630 steer -6449
6640 steer -5258
6650 steer -4527
6660 steer -3730
6670 steer 26032
6680 steer -32362
6690 steer 0
6700 steer 0
6710 steer 0
6720 steer 0
6730 steer 10000
6740 steer -47723
6750 steer 0
6760 steer 0
6770 steer 0
6780 steer 0
6790 steer 0
6800 steer 0
6810 steer 0
6820 steer 0
6830 steer 0
6840 steer 0
6850 steer 0
6860 steer 0
6870 steer 0
6880 steer 0
6890 steer 0
6900 steer 0
6910 steer -21486
6920 steer 0
6930 steer 0
6940 steer 0
6950 steer 0
6960 steer 0
6970 steer 0
6980 steer 0
6990 steer 0
7000 steer 39117
7010 steer -38461
7020 steer 29668
7030 steer 65536
7040 steer 65536
7050 steer 65536
7060 steer 65536
7070 steer 56239
7080 steer 65536
7090 steer 65536
7100 steer -48770
7110 steer 65536
7120 steer 65536
7130 steer 65536
7140 steer 65536
7150 steer 39683
7160 steer 65536
7170 steer 65536
7180 steer 65536
7190 steer 65536
7200 steer 65536
7210 steer 65536
7220 steer 65536
7230 steer 65536
7240 steer 65536
7250 steer 65536
7260 steer 65536
7270 steer 65536
7280 steer 65536
7290 steer 63800
7300 steer -45420
7310 steer -34349
7320 steer -59853
7330 steer -20890
7340 steer -5839
7350 steer -59721
7360 steer -44973
7370 steer -65536
7380 steer -65536
7390 steer -65536
